condition,ex2_order,question,variable,value,month,Mittelwert von value,Rating_in_relation_to_mean,frequency,ex2_allomorph,item,first,second
Mis 3.1,heit first,Die Geisterbahn ist voller Dunkel- und Grausamkeit.,participant_1,4.0,September,2.866666667,1.133333333,simple,mismatch,"Der Kontrolleur hat die Kinder gewarnt.
Die Geisterbahn ist voller Dunkel- und Grausamkeit.",Dunkel,Grausamkeit
Mis 3.1,heit first,Die Geisterbahn ist voller Dunkel- und Grausamkeit.,participant_16,4.0,Mai,2.78125,1.21875,simple,mismatch,"Der Kontrolleur hat die Kinder gewarnt.
Die Geisterbahn ist voller Dunkel- und Grausamkeit.",Dunkel,Grausamkeit
Mis 3.1,heit first,Die Geisterbahn ist voller Dunkel- und Grausamkeit.,participant_17,1.0,Mai,2.9375,-1.9375,simple,mismatch,"Der Kontrolleur hat die Kinder gewarnt.
Die Geisterbahn ist voller Dunkel- und Grausamkeit.",Dunkel,Grausamkeit
Mis 3.1,heit first,Die Geisterbahn ist voller Dunkel- und Grausamkeit.,participant_26,5.0,September,2.90625,2.09375,simple,mismatch,"Der Kontrolleur hat die Kinder gewarnt.
Die Geisterbahn ist voller Dunkel- und Grausamkeit.",Dunkel,Grausamkeit
Mis 3.1,heit first,Die Geisterbahn ist voller Dunkel- und Grausamkeit.,participant_27,6.0,Mai,3.96875,2.03125,simple,mismatch,"Der Kontrolleur hat die Kinder gewarnt.
Die Geisterbahn ist voller Dunkel- und Grausamkeit.",Dunkel,Grausamkeit
Mis 3.1,heit first,Die Geisterbahn ist voller Dunkel- und Grausamkeit.,participant_31,2.0,September,3.5,-1.5,simple,mismatch,"Der Kontrolleur hat die Kinder gewarnt.
Die Geisterbahn ist voller Dunkel- und Grausamkeit.",Dunkel,Grausamkeit
Mis 3.1,heit first,Die Geisterbahn ist voller Dunkel- und Grausamkeit.,participant_33,2.0,Mai,3.46875,-1.46875,simple,mismatch,"Der Kontrolleur hat die Kinder gewarnt.
Die Geisterbahn ist voller Dunkel- und Grausamkeit.",Dunkel,Grausamkeit
Mis 3.1,heit first,Die Geisterbahn ist voller Dunkel- und Grausamkeit.,participant_35,3.0,September,4.03125,-1.03125,simple,mismatch,"Der Kontrolleur hat die Kinder gewarnt.
Die Geisterbahn ist voller Dunkel- und Grausamkeit.",Dunkel,Grausamkeit
Mis 3.1,heit first,Die Geisterbahn ist voller Dunkel- und Grausamkeit.,participant_36,6.0,September,3.53125,2.46875,simple,mismatch,"Der Kontrolleur hat die Kinder gewarnt.
Die Geisterbahn ist voller Dunkel- und Grausamkeit.",Dunkel,Grausamkeit
Mis 3.1,heit first,Die Geisterbahn ist voller Dunkel- und Grausamkeit.,participant_40,5.0,September,4.03125,0.96875,simple,mismatch,"Der Kontrolleur hat die Kinder gewarnt.
Die Geisterbahn ist voller Dunkel- und Grausamkeit.",Dunkel,Grausamkeit
Mis 3.1,heit first,Die Geisterbahn ist voller Dunkel- und Grausamkeit.,participant_44,1.0,September,3.40625,-2.40625,simple,mismatch,"Der Kontrolleur hat die Kinder gewarnt.
Die Geisterbahn ist voller Dunkel- und Grausamkeit.",Dunkel,Grausamkeit
Mis 3.1,heit first,Die Geisterbahn ist voller Dunkel- und Grausamkeit.,participant_47,1.0,September,1.8125,-0.8125,simple,mismatch,"Der Kontrolleur hat die Kinder gewarnt.
Die Geisterbahn ist voller Dunkel- und Grausamkeit.",Dunkel,Grausamkeit
Mis 3.1,heit first,Die Geisterbahn ist voller Dunkel- und Grausamkeit.,participant_52,6.0,Mai,4.28125,1.71875,simple,mismatch,"Der Kontrolleur hat die Kinder gewarnt.
Die Geisterbahn ist voller Dunkel- und Grausamkeit.",Dunkel,Grausamkeit
Mis 3.1,heit first,Die Geisterbahn ist voller Dunkel- und Grausamkeit.,participant_56,4.0,Mai,4.90625,-0.90625,simple,mismatch,"Der Kontrolleur hat die Kinder gewarnt.
Die Geisterbahn ist voller Dunkel- und Grausamkeit.",Dunkel,Grausamkeit
Mis 3.1,heit first,Die Geisterbahn ist voller Dunkel- und Grausamkeit.,participant_61,1.0,Mai,4.451612903,-3.451612903,simple,mismatch,"Der Kontrolleur hat die Kinder gewarnt.
Die Geisterbahn ist voller Dunkel- und Grausamkeit.",Dunkel,Grausamkeit
Mis 3.1,heit first,Die Geisterbahn ist voller Dunkel- und Grausamkeit.,participant_64,1.0,Mai,3.25,-2.25,simple,mismatch,"Der Kontrolleur hat die Kinder gewarnt.
Die Geisterbahn ist voller Dunkel- und Grausamkeit.",Dunkel,Grausamkeit
Mis 3.1,heit first,Die Geisterbahn ist voller Dunkel- und Grausamkeit.,participant_66,1.0,Mai,2.875,-1.875,simple,mismatch,"Der Kontrolleur hat die Kinder gewarnt.
Die Geisterbahn ist voller Dunkel- und Grausamkeit.",Dunkel,Grausamkeit
Mis 3.1,heit first,Die Geisterbahn ist voller Dunkel- und Grausamkeit.,participant_69,3.0,Mai,2.59375,0.40625,simple,mismatch,"Der Kontrolleur hat die Kinder gewarnt.
Die Geisterbahn ist voller Dunkel- und Grausamkeit.",Dunkel,Grausamkeit
Mis 3.1,heit first,Die Geisterbahn ist voller Dunkel- und Grausamkeit.,participant_78,2.0,Mai,2.28125,-0.28125,simple,mismatch,"Der Kontrolleur hat die Kinder gewarnt.
Die Geisterbahn ist voller Dunkel- und Grausamkeit.",Dunkel,Grausamkeit
Mis 3.1,heit first,Die Geisterbahn ist voller Dunkel- und Grausamkeit.,participant_93,4.0,September,1.935483871,2.0645161290000003,simple,mismatch,"Der Kontrolleur hat die Kinder gewarnt.
Die Geisterbahn ist voller Dunkel- und Grausamkeit.",Dunkel,Grausamkeit
Mis 3.1,heit first,Die Geisterbahn ist voller Dunkel- und Grausamkeit.,participant_96,2.0,Mai,2.53125,-0.53125,simple,mismatch,"Der Kontrolleur hat die Kinder gewarnt.
Die Geisterbahn ist voller Dunkel- und Grausamkeit.",Dunkel,Grausamkeit
Mis 3.1,heit first,Die Geisterbahn ist voller Dunkel- und Grausamkeit.,participant_103,1.0,Mai,1.34375,-0.34375,simple,mismatch,"Der Kontrolleur hat die Kinder gewarnt.
Die Geisterbahn ist voller Dunkel- und Grausamkeit.",Dunkel,Grausamkeit
Mis 3.1,heit first,Die Geisterbahn ist voller Dunkel- und Grausamkeit.,participant_104,4.0,Mai,3.125,0.875,simple,mismatch,"Der Kontrolleur hat die Kinder gewarnt.
Die Geisterbahn ist voller Dunkel- und Grausamkeit.",Dunkel,Grausamkeit
Mis 3.1,heit first,Die Geisterbahn ist voller Dunkel- und Grausamkeit.,participant_107,1.0,Mai,2.25,-1.25,simple,mismatch,"Der Kontrolleur hat die Kinder gewarnt.
Die Geisterbahn ist voller Dunkel- und Grausamkeit.",Dunkel,Grausamkeit
Mis 3.1,heit first,Die Geisterbahn ist voller Dunkel- und Grausamkeit.,participant_114,3.0,September,2.1875,0.8125,simple,mismatch,"Der Kontrolleur hat die Kinder gewarnt.
Die Geisterbahn ist voller Dunkel- und Grausamkeit.",Dunkel,Grausamkeit
Mis 3.1,heit first,Die Geisterbahn ist voller Dunkel- und Grausamkeit.,participant_115,2.0,September,1.75,0.25,simple,mismatch,"Der Kontrolleur hat die Kinder gewarnt.
Die Geisterbahn ist voller Dunkel- und Grausamkeit.",Dunkel,Grausamkeit
Mis 3.1,heit first,Die Geisterbahn ist voller Dunkel- und Grausamkeit.,participant_121,7.0,September,3.516129032,3.483870968,simple,mismatch,"Der Kontrolleur hat die Kinder gewarnt.
Die Geisterbahn ist voller Dunkel- und Grausamkeit.",Dunkel,Grausamkeit
Mis 3.1,heit first,Die Geisterbahn ist voller Dunkel- und Grausamkeit.,participant_125,5.0,September,3.3125,1.6875,simple,mismatch,"Der Kontrolleur hat die Kinder gewarnt.
Die Geisterbahn ist voller Dunkel- und Grausamkeit.",Dunkel,Grausamkeit
