,condition,ex2_order,ex1_order,question,variable,value,month,Mittelwert von value,Rating_in_relation_to_mean,frequency,ex1_umlaut,ex2_allomorph
675,F,NaN,NaN,Ich habe der Prinzessin sich selbst auf den Gemälden präsentiert.,participant_1,3.0,September,2.866666667,0.13333333299999994,NaN,NaN,NaN
676,F,NaN,NaN,"Sie schreibt gerne Briefe, obwohl sie hat jetzt einen Computer.",participant_1,2.0,September,2.866666667,-0.8666666670000001,NaN,NaN,NaN
677,F,NaN,NaN,Da entschieden gegen hat der Politiker sicherlich nicht.,participant_1,1.0,September,2.866666667,-1.866666667,NaN,NaN,NaN
678,F,NaN,NaN,Das Dach wurde für gereinigt.,participant_1,1.0,September,2.866666667,-1.866666667,NaN,NaN,NaN
679,F,NaN,NaN,Die Autorin hat dem frechen und nervigen Journalisten kurzfristig abgesagt.,participant_1,7.0,September,2.866666667,4.1333333329999995,NaN,NaN,NaN
680,F,NaN,NaN,"Sie denkt, der Koch hat die Suppe versalzen.",participant_1,7.0,September,2.866666667,4.1333333329999995,NaN,NaN,NaN
681,F,NaN,NaN,Das Haus wurde unter gestrichen.,participant_2,1.0,Juni,2.633333333,-1.633333333,NaN,NaN,NaN
682,F,NaN,NaN,Die Familie hat eine teure Reise voreilig gebucht.,participant_2,6.0,Juni,2.633333333,3.366666667,NaN,NaN,NaN
683,F,NaN,NaN,"Er glaubt, die Mannschaft hat den Schiedsrichter bestochen.",participant_2,7.0,Juni,2.633333333,4.3666666670000005,NaN,NaN,NaN
684,F,NaN,NaN,"Auf der Fähre glaubt er, hat der Urlauber den Kontrolleur belogen.",participant_2,7.0,Juni,2.633333333,4.3666666670000005,NaN,NaN,NaN
685,F,NaN,NaN,"Die Familie isst gerne griechisch und türkisch, obwohl sie lebt jetzt in Italien.",participant_2,3.0,Juni,2.633333333,0.36666666700000006,NaN,NaN,NaN
686,F,NaN,NaN,Da gestimmt für hat der Wähler aber nicht.,participant_2,2.0,Juni,2.633333333,-0.6333333329999999,NaN,NaN,NaN
687,F,NaN,NaN,Auf allen Konzerten spielt die Band fehlerfrei.,participant_3,7.0,Juli,3.733333333,3.266666667,NaN,NaN,NaN
688,F,NaN,NaN,Wo hat die Feuerwehr welches Haus gelöscht?,participant_3,7.0,Juli,3.733333333,3.266666667,NaN,NaN,NaN
689,F,NaN,NaN,Du hast der Frau sich selbst als Beraterin vorgeschlagen.,participant_3,3.0,Juli,3.733333333,-0.733333333,NaN,NaN,NaN
690,F,NaN,NaN,Der Lehrer hat den Schülern es nachgetragen.,participant_3,3.0,Juli,3.733333333,-0.733333333,NaN,NaN,NaN
691,F,NaN,NaN,"Die Firma sagt er, dass die Bestellung vergessen oder verloren hat.",participant_3,2.0,Juli,3.733333333,-1.733333333,NaN,NaN,NaN
692,F,NaN,NaN,Die Gruppe wurde hinter beschuldigt.,participant_3,1.0,Juli,3.733333333,-2.733333333,NaN,NaN,NaN
693,F,NaN,NaN,Der Kaiser hat dem Fürsten den berühmten und begabten Maler empfohlen.,participant_4,2.0,Februar,3.65625,-1.65625,NaN,NaN,NaN
694,F,NaN,NaN,"Im Einkaufszentrum meint sie, hat der Ladenbesitzer den eleganten und gut geführten Laden geschlossen.",participant_4,4.0,Februar,3.65625,0.34375,NaN,NaN,NaN
695,F,NaN,NaN,Die Bergführer haben einander ihn als kompetenten und zuverlässigen Begleiter empfohlen.,participant_4,2.0,Februar,3.65625,-1.65625,NaN,NaN,NaN
696,F,NaN,NaN,Beim Stammtisch die drei Freunde spielen mit Vorliebe Skat und Würfeln.,participant_4,4.0,Februar,3.65625,0.34375,NaN,NaN,NaN
697,F,NaN,NaN,Die Suppe wurde gegen versalzen.,participant_4,1.0,Februar,3.65625,-2.65625,NaN,NaN,NaN
698,F,NaN,NaN,Der Patient hat den geldgierigen und unprofessionellen Zahnarzt überlistet.,participant_4,6.0,Februar,3.65625,2.34375,NaN,NaN,NaN
699,F,NaN,NaN,"Der Zuschauer denkt er, dass die Sendung angeguckt hat.",participant_5,6.0,Oktober,4.0625,1.9375,NaN,NaN,NaN
700,F,NaN,NaN,Der Junge wurde vor benotet und bewertet.,participant_5,4.0,Oktober,4.0625,-0.0625,NaN,NaN,NaN
701,F,NaN,NaN,Am Strand liegen viele Urlauber in der Sonne.,participant_5,6.0,Oktober,4.0625,1.9375,NaN,NaN,NaN
702,F,NaN,NaN,Am Strand liegen viele Urlauber in der Sonne.,participant_5,5.0,Oktober,4.0625,0.9375,NaN,NaN,NaN
703,F,NaN,NaN,Wie hat die Polizei welchen Fall gelöst?,participant_5,4.0,Oktober,4.0625,-0.0625,NaN,NaN,NaN
704,F,NaN,NaN,"Im Wald glaubt sie, hat der Jäger den Förster gesehen.",participant_5,7.0,Oktober,4.0625,2.9375,NaN,NaN,NaN
705,F,NaN,NaN,Der Kaiser hat dem Fürsten den berühmten und begabten Maler empfohlen.,participant_6,6.0,Februar,3.03125,2.96875,NaN,NaN,NaN
706,F,NaN,NaN,"Im Einkaufszentrum meint sie, hat der Ladenbesitzer den eleganten und gut geführten Laden geschlossen.",participant_6,6.0,Februar,3.03125,2.96875,NaN,NaN,NaN
707,F,NaN,NaN,Die Bergführer haben einander ihn als kompetenten und zuverlässigen Begleiter empfohlen.,participant_6,4.0,Februar,3.03125,0.96875,NaN,NaN,NaN
708,F,NaN,NaN,Beim Stammtisch die drei Freunde spielen mit Vorliebe Skat und Würfeln.,participant_6,1.0,Februar,3.03125,-2.03125,NaN,NaN,NaN
709,F,NaN,NaN,Die Suppe wurde gegen versalzen.,participant_6,1.0,Februar,3.03125,-2.03125,NaN,NaN,NaN
710,F,NaN,NaN,Der Patient hat den geldgierigen und unprofessionellen Zahnarzt überlistet.,participant_6,6.0,Februar,3.03125,2.96875,NaN,NaN,NaN
711,F,NaN,NaN,Auf allen Konzerten spielt die Band fehlerfrei.,participant_7,5.0,Juli,3.903225806,1.096774194,NaN,NaN,NaN
712,F,NaN,NaN,Wo hat die Feuerwehr welches Haus gelöscht?,participant_7,6.0,Juli,3.903225806,2.096774194,NaN,NaN,NaN
713,F,NaN,NaN,Du hast der Frau sich selbst als Beraterin vorgeschlagen.,participant_7,4.0,Juli,3.903225806,0.09677419399999998,NaN,NaN,NaN
714,F,NaN,NaN,Der Lehrer hat den Schülern es nachgetragen.,participant_7,5.0,Juli,3.903225806,1.096774194,NaN,NaN,NaN
