,condition,ex2_order,ex1_order,question,variable,value,month,Mittelwert von value,Rating_in_relation_to_mean,frequency,ex1_umlaut,ex2_allomorph
0,Mis 3.1,heit first,NaN,Die Geisterbahn ist voller Dunkel- und Grausamkeit.,participant_1,4.0,September,2.866666667,1.133333333,simple,NaN,mismatch
1,Mis 3.1,heit first,NaN,Die Geisterbahn ist voller Dunkel- und Grausamkeit.,participant_16,4.0,Mai,2.78125,1.21875,simple,NaN,mismatch
2,Mis 3.1,heit first,NaN,Die Geisterbahn ist voller Dunkel- und Grausamkeit.,participant_17,1.0,Mai,2.9375,-1.9375,simple,NaN,mismatch
3,Mis 3.1,heit first,NaN,Die Geisterbahn ist voller Dunkel- und Grausamkeit.,participant_26,5.0,September,2.90625,2.09375,simple,NaN,mismatch
4,Mis 3.1,heit first,NaN,Die Geisterbahn ist voller Dunkel- und Grausamkeit.,participant_27,6.0,Mai,3.96875,2.03125,simple,NaN,mismatch
5,Mis 3.1,heit first,NaN,Die Geisterbahn ist voller Dunkel- und Grausamkeit.,participant_31,2.0,September,3.5,-1.5,simple,NaN,mismatch
6,Mis 3.1,heit first,NaN,Die Geisterbahn ist voller Dunkel- und Grausamkeit.,participant_33,2.0,Mai,3.46875,-1.46875,simple,NaN,mismatch
7,Mis 3.1,heit first,NaN,Die Geisterbahn ist voller Dunkel- und Grausamkeit.,participant_35,3.0,September,4.03125,-1.03125,simple,NaN,mismatch
8,Mis 3.1,heit first,NaN,Die Geisterbahn ist voller Dunkel- und Grausamkeit.,participant_36,6.0,September,3.53125,2.46875,simple,NaN,mismatch
9,Mis 3.1,heit first,NaN,Die Geisterbahn ist voller Dunkel- und Grausamkeit.,participant_40,5.0,September,4.03125,0.96875,simple,NaN,mismatch
10,Mis 3.1,heit first,NaN,Die Geisterbahn ist voller Dunkel- und Grausamkeit.,participant_44,1.0,September,3.40625,-2.40625,simple,NaN,mismatch
11,Mis 3.1,heit first,NaN,Die Geisterbahn ist voller Dunkel- und Grausamkeit.,participant_47,1.0,September,1.8125,-0.8125,simple,NaN,mismatch
12,Mis 3.1,heit first,NaN,Die Geisterbahn ist voller Dunkel- und Grausamkeit.,participant_52,6.0,Mai,4.28125,1.71875,simple,NaN,mismatch
13,Mis 3.1,heit first,NaN,Die Geisterbahn ist voller Dunkel- und Grausamkeit.,participant_56,4.0,Mai,4.90625,-0.90625,simple,NaN,mismatch
14,Mis 3.1,heit first,NaN,Die Geisterbahn ist voller Dunkel- und Grausamkeit.,participant_61,1.0,Mai,4.451612903,-3.451612903,simple,NaN,mismatch
15,Mis 3.1,heit first,NaN,Die Geisterbahn ist voller Dunkel- und Grausamkeit.,participant_64,1.0,Mai,3.25,-2.25,simple,NaN,mismatch
16,Mis 3.1,heit first,NaN,Die Geisterbahn ist voller Dunkel- und Grausamkeit.,participant_66,1.0,Mai,2.875,-1.875,simple,NaN,mismatch
17,Mis 3.1,heit first,NaN,Die Geisterbahn ist voller Dunkel- und Grausamkeit.,participant_69,3.0,Mai,2.59375,0.40625,simple,NaN,mismatch
18,Mis 3.1,heit first,NaN,Die Geisterbahn ist voller Dunkel- und Grausamkeit.,participant_78,2.0,Mai,2.28125,-0.28125,simple,NaN,mismatch
19,Mis 3.1,heit first,NaN,Die Geisterbahn ist voller Dunkel- und Grausamkeit.,participant_93,4.0,September,1.935483871,2.0645161290000003,simple,NaN,mismatch
20,Mis 3.1,heit first,NaN,Die Geisterbahn ist voller Dunkel- und Grausamkeit.,participant_96,2.0,Mai,2.53125,-0.53125,simple,NaN,mismatch
21,Mis 3.1,heit first,NaN,Die Geisterbahn ist voller Dunkel- und Grausamkeit.,participant_103,1.0,Mai,1.34375,-0.34375,simple,NaN,mismatch
22,Mis 3.1,heit first,NaN,Die Geisterbahn ist voller Dunkel- und Grausamkeit.,participant_104,4.0,Mai,3.125,0.875,simple,NaN,mismatch
23,Mis 3.1,heit first,NaN,Die Geisterbahn ist voller Dunkel- und Grausamkeit.,participant_107,1.0,Mai,2.25,-1.25,simple,NaN,mismatch
24,Mis 3.1,heit first,NaN,Die Geisterbahn ist voller Dunkel- und Grausamkeit.,participant_114,3.0,September,2.1875,0.8125,simple,NaN,mismatch
25,Mis 3.1,heit first,NaN,Die Geisterbahn ist voller Dunkel- und Grausamkeit.,participant_115,2.0,September,1.75,0.25,simple,NaN,mismatch
26,Mis 3.1,heit first,NaN,Die Geisterbahn ist voller Dunkel- und Grausamkeit.,participant_121,7.0,September,3.516129032,3.483870968,simple,NaN,mismatch
27,Mis 3.1,heit first,NaN,Die Geisterbahn ist voller Dunkel- und Grausamkeit.,participant_125,5.0,September,3.3125,1.6875,simple,NaN,mismatch
28,Mis 3.1,heit first,NaN,Die Geisterbahn ist voller Dunkel- und Grausamkeit.,participant_134,5.0,September,4.15625,0.84375,simple,NaN,mismatch
29,Mis 3.1,heit first,NaN,Die Geisterbahn ist voller Dunkel- und Grausamkeit.,participant_146,2.0,Mai,3.4375,-1.4375,simple,NaN,mismatch
30,Mis 3.1,heit first,NaN,Die Geisterbahn ist voller Dunkel- und Grausamkeit.,participant_151,2.0,Mai,4.3125,-2.3125,simple,NaN,mismatch
