condition,ex2_order,ex1_order,question,variable,value,month,Mittelwert von value,Rating_in_relation_to_mean,frequency,ex1_umlaut,ex2_allomorph,item,first,second
Mis 3.1,heit first,NaN,Die Geisterbahn ist voller Dunkel- und Grausamkeit.,participant_1,4.0,September,2.866666667,1.133333333,simple,NaN,mismatch,"Der Kontrolleur hat die Kinder gewarnt.
Die Geisterbahn ist voller Dunkel- und Grausamkeit.",Dunkel,Grausamkeit
Mis 3.1,heit first,NaN,Die Geisterbahn ist voller Dunkel- und Grausamkeit.,participant_16,4.0,Mai,2.78125,1.21875,simple,NaN,mismatch,"Der Kontrolleur hat die Kinder gewarnt.
Die Geisterbahn ist voller Dunkel- und Grausamkeit.",Dunkel,Grausamkeit
Mis 3.1,heit first,NaN,Die Geisterbahn ist voller Dunkel- und Grausamkeit.,participant_17,1.0,Mai,2.9375,-1.9375,simple,NaN,mismatch,"Der Kontrolleur hat die Kinder gewarnt.
Die Geisterbahn ist voller Dunkel- und Grausamkeit.",Dunkel,Grausamkeit
Mis 3.1,heit first,NaN,Die Geisterbahn ist voller Dunkel- und Grausamkeit.,participant_26,5.0,September,2.90625,2.09375,simple,NaN,mismatch,"Der Kontrolleur hat die Kinder gewarnt.
Die Geisterbahn ist voller Dunkel- und Grausamkeit.",Dunkel,Grausamkeit
Mis 3.1,heit first,NaN,Die Geisterbahn ist voller Dunkel- und Grausamkeit.,participant_27,6.0,Mai,3.96875,2.03125,simple,NaN,mismatch,"Der Kontrolleur hat die Kinder gewarnt.
Die Geisterbahn ist voller Dunkel- und Grausamkeit.",Dunkel,Grausamkeit
Mis 3.1,heit first,NaN,Die Geisterbahn ist voller Dunkel- und Grausamkeit.,participant_31,2.0,September,3.5,-1.5,simple,NaN,mismatch,"Der Kontrolleur hat die Kinder gewarnt.
Die Geisterbahn ist voller Dunkel- und Grausamkeit.",Dunkel,Grausamkeit
Mis 3.1,heit first,NaN,Die Geisterbahn ist voller Dunkel- und Grausamkeit.,participant_33,2.0,Mai,3.46875,-1.46875,simple,NaN,mismatch,"Der Kontrolleur hat die Kinder gewarnt.
Die Geisterbahn ist voller Dunkel- und Grausamkeit.",Dunkel,Grausamkeit
Mis 3.1,heit first,NaN,Die Geisterbahn ist voller Dunkel- und Grausamkeit.,participant_35,3.0,September,4.03125,-1.03125,simple,NaN,mismatch,"Der Kontrolleur hat die Kinder gewarnt.
Die Geisterbahn ist voller Dunkel- und Grausamkeit.",Dunkel,Grausamkeit
Mis 3.1,heit first,NaN,Die Geisterbahn ist voller Dunkel- und Grausamkeit.,participant_36,6.0,September,3.53125,2.46875,simple,NaN,mismatch,"Der Kontrolleur hat die Kinder gewarnt.
Die Geisterbahn ist voller Dunkel- und Grausamkeit.",Dunkel,Grausamkeit
Mis 3.1,heit first,NaN,Die Geisterbahn ist voller Dunkel- und Grausamkeit.,participant_40,5.0,September,4.03125,0.96875,simple,NaN,mismatch,"Der Kontrolleur hat die Kinder gewarnt.
Die Geisterbahn ist voller Dunkel- und Grausamkeit.",Dunkel,Grausamkeit
